36136	1
331	2
3410	3
2808	4
17431	5
557	6
7637	7
9208	8
8250	9
29223	10
4465	11
6303	12
4525	13
23589	14
9048	15
23320	16
14784	17
11485	18
12859	19
36278	20
5285	21
7083	22
171	23
7495	24
6207	25
2019	26
3000	27
4225	28
55	29
14782	30
6479	31
13754	32
32530	33
24403	34
34961	35
35888	36
1028	37
30766	38
1980	39
24847	40
1348	41
7123	42
35432	43
8336	44
22124	45
36350	46
14841	47
36351	48
14000	49
9452	50
1668	51
36352	52
6035	53
35588	54
10693	55
5790	56
22293	57
11694	58
1439	59
1762	60
9695	61
32513	62
25435	63
29448	64
33695	65
3908	66
2357	67
26591	68
21403	69
34029	70
26250	71
28399	72
34183	73
20692	74
4946	75
1353	76
32075	77
9016	78
15389	79
10196	80
2070	81
9	82
19080	83
472	84
10478	85
2517	86
8604	87
36353	88
30050	89
19331	90
502	91
20212	92
15803	93
12209	94
73	95
22345	96
18825	97
12602	98
12991	99
815	100
18891	101
4339	102
4082	103
12277	104
6805	105
7928	106
1655	107
11066	108
8703	109
2853	110
2027	111
15500	112
17740	113
33424	114
7421	115
20297	116
21563	117
738	118
5274	119
579	120
21816	121
18153	122
4534	123
3359	124
29767	125
15171	126
10058	127
33665	128
21731	129
9818	130
6575	131
28017	132
35088	133
21608	134
32461	135
27641	136
9709	137
31149	138
25938	139
10268	140
18114	141
7426	142
5703	143
26600	144
21105	145
34262	146
28492	147
2644	148
21315	149
6823	150
1480	151
3658	152
29622	153
32074	154
10939	155
8121	156
11546	157
13633	158
23184	159
4575	160
28877	161
2716	162
5002	163
2460	164
22690	165
476	166
612	167
4109	168
5993	169
29144	170
31874	171
29419	172
516	173
1808	174
24232	175
19963	176
1032	177
14567	178
424	179
16241	180
2883	181
30055	182
28196	183
13596	184
8840	185
31336	186
4112	187
13874	188
35599	189
20408	190
3107	191
14381	192
14656	193
35928	194
24788	195
7303	196
17019	197
36279	198
23345	199
13154	200
5502	201
2534	202
7538	203
34001	204
252	205
36354	206
21543	207
29826	208
4057	209
6599	210
19578	211
14430	212
33542	213
5944	214
34859	215
21492	216
18418	217
9471	218
461	219
30641	220
2802	221
488	222
15964	223
186	224
35469	225
2225	226
23096	227
31443	228
36127	229
3095	230
16000	231
26864	232
5948	233
572	234
2749	235
3023	236
10944	237
4679	238
22291	239
30198	240
4587	241
916	242
34154	243
33328	244
9455	245
995	246
34851	247
33026	248
408	249
681	250
5431	251
5872	252
6801	253
24515	254
12409	255
6836	256
18548	257
25308	258
2812	259
2041	260
15664	261
31897	262
19886	263
3659	264
12852	265
8973	266
35276	267
26498	268
12584	269
34279	270
30451	271
6395	272
5902	273
35370	274
7431	275
551	276
270	277
6016	278
29640	279
33234	280
23052	281
32011	282
33	283
2121	284
17429	285
35507	286
35494	287
34176	288
2214	289
11077	290
7811	291
19135	292
1058	293
9925	294
29741	295
1343	296
8145	297
8554	298
10255	299
24411	300
2268	301
1331	302
6921	303
30934	304
4073	305
9642	306
3354	307
4797	308
6939	309
14047	310
1256	311
25365	312
11170	313
1182	314
283	315
34694	316
26648	317
5844	318
36355	319
29772	320
32171	321
1372	322
1305	323
12477	324
645	325
1013	326
730	327
107	328
679	329
24327	330
17476	331
24074	332
1782	333
1069	334
6049	335
9750	336
23004	337
896	338
2361	339
3989	340
36195	341
7044	342
31193	343
30643	344
307	345
29038	346
35070	347
2698	348
36298	349
35455	350
36303	351
6710	352
32735	353
4605	354
6905	355
3370	356
35972	357
5392	358
4606	359
19238	360
15976	361
20154	362
7422	363
32583	364
3186	365
36086	366
2059	367
1066	368
12365	369
35196	370
8022	371
908	372
9937	373
4287	374
4263	375
14607	376
10202	377
35407	378
1298	379
29495	380
34746	381
2433	382
11613	383
11143	384
11392	385
788	386
